School,Role,Citations,Earliest_Pub,Field_1,Field_2,Major field
Louisiana State University and Agricultural&Mechanical College,Professor,137,2001,Manifolds and cell complexes,,Geometry
Louisiana State University and Agricultural&Mechanical College,Professor,259,1996,Manifolds and cell complexes,,Geometry
Louisiana State University and Agricultural&Mechanical College,Professor,544,1978,Manifolds and cell complexes,,Geometry
Louisiana State University and Agricultural&Mechanical College,Professor,59,1985,Manifolds and cell complexes,,Geometry
Louisiana State University and Agricultural&Mechanical College,Professor,109,1975,Several complex variables and analytic spaces,General,Complex Analysis
Louisiana State University and Agricultural&Mechanical College,Professor,532,1980,Functional analysis,,Harmonic analysis
Louisiana State University and Agricultural&Mechanical College,Professor,786,1972,Fourier analysis,"Integral transforms, operational calculus",Harmonic analysis
Louisiana State University and Agricultural&Mechanical College,Professor,133,1977,Commutative rings and algebras,,Algebra
Louisiana State University and Agricultural&Mechanical College,Professor,351,1991,Combinatorics,,Combinatorics
Louisiana State University and Agricultural&Mechanical College,Professor,241,1989,Combinatorics,,Combinatorics
Louisiana State University and Agricultural&Mechanical College,Professor,2534,1977,Combinatorics,,Combinatorics
Louisiana State University and Agricultural&Mechanical College,Professor,531,1990,Combinatorics,,Combinatorics
Louisiana State University and Agricultural&Mechanical College,Professor,1572,1988,Calculus of variations and optimal control; optimization,,Applied Math
Louisiana State University and Agricultural&Mechanical College,Professor,438,1993,Associative rings and algebras,,Algebra
Louisiana State University and Agricultural&Mechanical College,Professor,459,1996,Associative rings and algebras,,Algebra
Louisiana State University and Agricultural&Mechanical College,Professor,287,2001,Algebraic geometry,,Algebraic Geometry
Massachusetts Institute of Technology,Professor,134,1999,"Topological groups, Lie groups",,Lie Groups
Massachusetts Institute of Technology,Professor,2214,1976,"Topological groups, Lie groups",,Lie Groups
Massachusetts Institute of Technology,Professor,40,2005,Systems theory; control,,Applied Math
Massachusetts Institute of Technology,Professor,20,1962,Quantum theory,,Mathematical Physics
Massachusetts Institute of Technology,Professor,41,1995,Quantum theory,Fluid mechanics,Mathematical Physics
Massachusetts Institute of Technology,Professor,2856,1995,Probability theory and stochastic processes,,Probability
Massachusetts Institute of Technology,Professor,1417,1998,Probability theory and stochastic processes,,Probability
Massachusetts Institute of Technology,Professor,1764,2002,Probability theory and stochastic processes,,Probability
Massachusetts Institute of Technology,Professor,2312,1995,Partial differential equations,,PDE
Massachusetts Institute of Technology,Professor,3305,1976,Partial differential equations,,PDE
Massachusetts Institute of Technology,Professor,1641,1989,"Operations research, mathematical programming",,Applied Math
Massachusetts Institute of Technology,Professor,2510,1998,"Operations research, mathematical programming",,Applied Math
Massachusetts Institute of Technology,Professor,4066,1959,Numerical analysis,,Computer Science
Massachusetts Institute of Technology,Professor,1729,1987,Numerical analysis,Linear and multilinear algebra,Computer Science
Massachusetts Institute of Technology,Professor,506,2002,Numerical analysis,,Computer Science
Massachusetts Institute of Technology,Professor,16,2002,Numerical analysis,,Computer Science
Massachusetts Institute of Technology,Professor,1583,1988,Number theory,,Number theory
Massachusetts Institute of Technology,Professor,10332,1967,Nonassociative rings and algebras,,Algebra
Massachusetts Institute of Technology,Professor,1375,1985,Manifolds and cell complexes,,Geometry
Massachusetts Institute of Technology,Professor,321,2001,"Information and communication, circuits",,Computer Science
Massachusetts Institute of Technology,Professor,9323,1965,Group theory and generalizations,Nonassociative rings and algebras,Group theory
Massachusetts Institute of Technology,Professor,5822,1962,"Global analysis, analysis on manifolds",,PDE
Massachusetts Institute of Technology,Professor,3084,1975,"Global analysis, analysis on manifolds",,PDE
Massachusetts Institute of Technology,Professor,667,2005,Fourier analysis,Convex and discrete geometry,Harmonic analysis
Massachusetts Institute of Technology,Professor,31,1998,Fluid mechanics,,Applied Math
Massachusetts Institute of Technology,Professor,375,1977,Fluid mechanics,Partial differential equations,Applied Math
Massachusetts Institute of Technology,Professor,140,2000,Fluid mechanics,,Applied Math
Massachusetts Institute of Technology,Professor,1489,1994,Differential geometry,,Geometry
Massachusetts Institute of Technology,Professor,2739,1995,Differential geometry,,Geometry
Massachusetts Institute of Technology,Professor,1713,1996,Differential geometry,,Geometry
Massachusetts Institute of Technology,Professor,100,1990,Computer science,,Computer Science
Massachusetts Institute of Technology,Professor,1420,1976,Computer science,,Computer Science
Massachusetts Institute of Technology,Professor,635,1977,Computer science,,Computer Science
Massachusetts Institute of Technology,Professor,2339,1982,Computer science,,Computer Science
Massachusetts Institute of Technology,Professor,1138,1990,Combinatorics,,Combinatorics
Massachusetts Institute of Technology,Professor,4527,1987,Associative rings and algebras,Nonassociative rings and algebras,Algebra
Massachusetts Institute of Technology,Professor,588,1975,Algebraic geometry,,Algebraic Geometry
Massachusetts Institute of Technology,Professor,908,1994,Algebraic geometry,Group theory and generalizations,Algebraic Geometry
Massachusetts Institute of Technology,Professor,708,2001,Algebraic geometry,,Algebraic Geometry
Massachusetts Institute of Technology,Professor,414,2008,Algebraic geometry,,Algebraic Geometry
Massachusetts Institute of Technology,Professor,179,2009,Algebraic geometry,,Algebraic Geometry
Michigan State University,Professor,410,1998,"Statistical mechanics, structure of matter",,Mathematical Physics
Michigan State University,Professor,341,1986,Quantum theory,Partial differential equations,Mathematical Physics
Michigan State University,Professor,185,2002,Probability theory and stochastic processes,,Probability
Michigan State University,Professor,199,1998,Probability theory and stochastic processes,,Probability
Michigan State University,Professor,1306,1976,Operator theory,,Harmonic analysis
Michigan State University,Professor,480,2001,Numerical analysis,,Computer Science
Michigan State University,Professor,940,2000,Numerical analysis,,Computer Science
Michigan State University,Professor,1071,1996,Numerical analysis,,Computer Science
Michigan State University,Professor,620,1992,Number theory,Algebraic geometry,Number theory
Michigan State University,Professor,244,1993,Mechanics of solids,,Applied Math
Michigan State University,Professor,441,1993,Manifolds and cell complexes,,Geometry
Michigan State University,Professor,972,1977,Manifolds and cell complexes,,Geometry
Michigan State University,Professor,512,2005,Manifolds and cell complexes,,Geometry
Michigan State University,Professor,934,1976,Manifolds and cell complexes,,Geometry
Michigan State University,Professor,408,1974,Group theory and generalizations,,Group theory
Michigan State University,Professor,231,1988,Group theory and generalizations,,Group theory
Michigan State University,Professor,190,2007,Fourier analysis,,Harmonic analysis
Michigan State University,Professor,2931,1978,Fourier analysis,,Harmonic analysis
Michigan State University,Professor,215,1978,Fluid mechanics,,Applied Math
Michigan State University,Professor,360,1982,Dynamical systems and ergodic theory,,Dynamics
Michigan State University,Professor,1061,1980,Differential geometry,,Geometry
Michigan State University,Professor,403,2001,Differential geometry,,Geometry
Michigan State University,Professor,602,1981,Differential geometry,"Global analysis, analysis on manifolds",Geometry
Michigan State University,Professor,1751,1979,Combinatorics,,Combinatorics
Michigan State University,Professor,665,1982,Calculus of variations and optimal control; optimization,,Applied Math
Michigan State University,Professor,118,1975,Associative rings and algebras,,Algebra
Michigan State University,Professor,125,1999,Algebraic geometry,,Algebraic Geometry
Michigan State University,Professor,1056,1987,Algebraic geometry,Manifolds and cell complexes,Algebraic Geometry
Mississippi State University,Professor,172,1990,Statistics,,Statistics
Mississippi State University,Professor,296,1988,Partial differential equations,,PDE
Mississippi State University,Professor,747,1986,Ordinary differential equations,Partial differential equations,Analysis
Mississippi State University,Professor,493,1987,Ordinary differential equations,,Analysis
Mississippi State University,Professor,709,1976,Operator theory,,Harmonic analysis
Mississippi State University,Professor,519,1975,Numerical analysis,Calculus of variations and optimal control; optimization,Computer Science
Mississippi State University,Professor,179,1994,Numerical analysis,,Computer Science
Montana State University,Professor,2,1992,Statistics,,Statistics
Montana State University,Professor,6,2004,Statistics,,Statistics
Montana State University,Professor,58,1998,Numerical analysis,,Computer Science
Montana State University,Professor,281,1978,Numerical analysis,,Computer Science
Montana State University,Professor,17,2003,Dynamical systems and ergodic theory,,Dynamics
Montana State University,Professor,198,1987,Dynamical systems and ergodic theory,Ordinary differential equations,Dynamics
Montana State University,Professor,324,1991,Dynamical systems and ergodic theory,,Dynamics
Montana State University,Professor,287,1987,Biology and other natural sciences,,Applied Math
New Jersey Institute of Technology,Professor,3,1988,Statistics,,Statistics
New Jersey Institute of Technology,Professor,32,1995,"Statistical mechanics, structure of matter",,Mathematical Physics
New Jersey Institute of Technology,Professor,57,1975,Operator theory,,Harmonic analysis
New Jersey Institute of Technology,Professor,198,2000,Numerical analysis,,Computer Science
New Jersey Institute of Technology,Professor,222,2001,Numerical analysis,,Computer Science
New Jersey Institute of Technology,Professor,96,1997,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,38,1981,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,201,1995,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,65,1999,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,8,1986,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,222,1989,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,44,1998,Fluid mechanics,,Applied Math
New Jersey Institute of Technology,Professor,144,1971,Dynamical systems and ergodic theory,,Dynamics
New Jersey Institute of Technology,Professor,6,1990,"Classical thermodynamics, heat transfer",,Mathematical Physics
New Jersey Institute of Technology,Professor,592,1996,Calculus of variations and optimal control; optimization,Partial differential equations,Applied Math
New Jersey Institute of Technology,Professor,111,1994,Biology and other natural sciences,,Applied Math
New York University,Professor,1791,1998,"Statistical mechanics, structure of matter",,Mathematical Physics
New York University,Professor,2295,1971,"Statistical mechanics, structure of matter",,Mathematical Physics
New York University,Professor,276,1980,"Statistical mechanics, structure of matter",,Mathematical Physics
New York University,Professor,4889,1962,Probability theory and stochastic processes,,Probability
New York University,Professor,1633,1982,Probability theory and stochastic processes,,Probability
New York University,Professor,5142,1983,Probability theory and stochastic processes,,Probability
New York University,Professor,242,1997,Probability theory and stochastic processes,,Probability
New York University,Professor,1541,1998,Probability theory and stochastic processes,,Probability
New York University,Professor,585,2006,Probability theory and stochastic processes,,Probability
New York University,Professor,940,1971,Partial differential equations,,PDE
New York University,Professor,9762,1973,Partial differential equations,,PDE
New York University,Professor,5264,1975,Partial differential equations,,PDE
New York University,Professor,5128,1976,Partial differential equations,,PDE
New York University,Professor,1950,1978,Partial differential equations,,PDE
New York University,Professor,6570,1981,Partial differential equations,,PDE
New York University,Professor,3223,1982,Partial differential equations,,PDE
New York University,Professor,1042,1983,Partial differential equations,,PDE
New York University,Professor,973,1985,Partial differential equations,,PDE
New York University,Professor,4019,1997,Partial differential equations,,PDE
New York University,Professor,743,2005,Partial differential equations,,PDE
New York University,Professor,1181,1980,"Operations research, mathematical programming",,Applied Math
New York University,Professor,1715,1979,"Operations research, mathematical programming",,Applied Math
New York University,Professor,526,1991,Numerical analysis,,Computer Science
New York University,Professor,214,1999,Numerical analysis,"Statistical mechanics, structure of matter",Computer Science
New York University,Professor,736,1995,Numerical analysis,,Computer Science
New York University,Professor,1009,1969,Manifolds and cell complexes,,Geometry
New York University,Professor,311,1973,Manifolds and cell complexes,,Geometry
New York University,Professor,272,2000,"Information and communication, circuits",,Computer Science
New York University,Professor,3060,1977,"Global analysis, analysis on manifolds",,PDE
New York University,Professor,1634,1982,"Global analysis, analysis on manifolds",,PDE
New York University,Professor,82,1981,Geophysics,,Applied Math
New York University,Professor,32,2004,Geophysics,,Applied Math
New York University,Professor,639,1986,Fluid mechanics,,Applied Math
New York University,Professor,230,1986,Fluid mechanics,,Applied Math
New York University,Professor,636,1992,Fluid mechanics,,Applied Math
New York University,Professor,29,1998,Fluid mechanics,,Applied Math
New York University,Professor,20,1999,Fluid mechanics,,Applied Math
New York University,Professor,5741,1967,Differential geometry,,Geometry
New York University,Professor,12380,1967,Differential geometry,,Geometry
New York University,Professor,1722,1989,Differential geometry,,Geometry
New York University,Professor,4247,1974,Convex and discrete geometry,,Geometry
New York University,Professor,2284,1983,Convex and discrete geometry,,Geometry
New York University,Professor,3148,1988,Convex and discrete geometry,,Geometry
New York University,Professor,156,1984,Computer science,,Computer Science
New York University,Professor,5117,1966,Combinatorics,Probability theory and stochastic processes,Combinatorics
New York University,Professor,501,2003,Calculus of variations and optimal control; optimization,,Applied Math
New York University,Professor,382,1955,Biology and other natural sciences,,Applied Math
New York University,Professor,3661,1973,Biology and other natural sciences,Fluid mechanics,Applied Math
New York University,Professor,406,1973,Biology and other natural sciences,,Applied Math
New York University,Professor,400,1986,Biology and other natural sciences,,Applied Math
New York University,Professor,21,2002,Biology and other natural sciences,,Applied Math
New York University,Professor,1036,1969,Algebraic geometry,,Algebraic Geometry
New York University,Professor,1303,1988,Algebraic geometry,,Algebraic Geometry
North Carolina State University,Professor,113,2002,Systems theory; control,,Applied Math
North Carolina State University,Professor,280,1989,Statistics,Mechanics of solids,Statistics
North Carolina State University,Professor,728,2002,Statistics,,Statistics
North Carolina State University,Professor,21,1986,Relativity and gravitational theory,,Mathematical Physics
North Carolina State University,Professor,1628,1975,Probability theory and stochastic processes,,Probability
North Carolina State University,Professor,1070,1969,Partial differential equations,Ordinary differential equations,PDE
North Carolina State University,Professor,676,1976,Partial differential equations,,PDE
North Carolina State University,Professor,37,1995,"Optics, electromagnetic theory",,Mathematical Physics
North Carolina State University,Professor,4048,1990,"Operations research, mathematical programming",,Applied Math
North Carolina State University,Professor,553,1991,Numerical analysis,,Computer Science
North Carolina State University,Professor,712,1983,Numerical analysis,,Computer Science
North Carolina State University,Professor,908,1982,Numerical analysis,,Computer Science
North Carolina State University,Professor,239,1991,Numerical analysis,,Computer Science
North Carolina State University,Professor,3200,1981,Numerical analysis,,Computer Science
North Carolina State University,Professor,792,1989,Numerical analysis,,Computer Science
North Carolina State University,Professor,685,1985,Nonassociative rings and algebras,,Algebra
North Carolina State University,Professor,929,1982,Nonassociative rings and algebras,,Algebra
North Carolina State University,Professor,264,1969,Nonassociative rings and algebras,,Algebra
North Carolina State University,Professor,115,1991,Mechanics of solids,,Applied Math
North Carolina State University,Professor,215,1988,Mechanics of particles and systems,Dynamical systems and ergodic theory,Mathematical Physics
North Carolina State University,Professor,66,1980,Mechanics of deformable solids,,Applied Math
North Carolina State University,Professor,294,1991,Mathematical logic and foundations,,Logic
North Carolina State University,Professor,666,1999,Group theory and generalizations,,Group theory
North Carolina State University,Professor,140,2000,"Global analysis, analysis on manifolds",,PDE
North Carolina State University,Professor,598,1981,"Global analysis, analysis on manifolds",,PDE
North Carolina State University,Professor,196,1980,Difference and functional equations,Ordinary differential equations,Analysis
North Carolina State University,Professor,876,1982,Computer science,,Computer Science
North Carolina State University,Professor,125,1994,Commutative rings and algebras,,Algebra
North Carolina State University,Professor,706,1996,Category theory; homological algebra,,Algebra
North Carolina State University,Professor,3414,1983,Calculus of variations and optimal control; optimization,,Applied Math
North Carolina State University,Professor,62,1992,Biology and other natural sciences,,Applied Math
North Carolina State University,Professor,81,2001,Biology and other natural sciences,,Applied Math
North Carolina State University,Professor,101,2000,Biology and other natural sciences,,Applied Math
North Carolina State University,Professor,21,1976,Associative rings and algebras,,Algebra
Northeastern University,Professor,33,1979,"Topological groups, Lie groups",,Lie Groups
Northeastern University,Professor,196,1992,Statistics,,Statistics
Northeastern University,Professor,530,1976,Several complex variables and analytic spaces,,Complex Analysis
Northeastern University,Professor,975,1984,Several complex variables and analytic spaces,,Complex Analysis
Northeastern University,Professor,300,1986,Several complex variables and analytic spaces,,Complex Analysis
Northeastern University,Professor,89,1961,Probability theory and stochastic processes,,Probability
Northeastern University,Professor,236,1994,Nonassociative rings and algebras,,Algebra
Northeastern University,Professor,466,2005,Nonassociative rings and algebras,,Algebra
Northeastern University,Professor,87,1981,Measure and integration,,Harmonic analysis
Northeastern University,Professor,30,1967,"Global analysis, analysis on manifolds",,PDE
Northeastern University,Professor,535,1977,"Global analysis, analysis on manifolds",,PDE
Northeastern University,Professor,428,1980,"Global analysis, analysis on manifolds",,PDE
Northeastern University,Professor,30,1991,"Global analysis, analysis on manifolds",,PDE
Northeastern University,Professor,730,1994,Dynamical systems and ergodic theory,Partial differential equations,Dynamics
Northeastern University,Professor,787,1981,Convex and discrete geometry,,Geometry
Northeastern University,Professor,818,1979,Associative rings and algebras,,Algebra
Northeastern University,Professor,16,1971,Algebraic topology,,Algebra
Northeastern University,Professor,879,1974,Algebraic geometry,,Algebraic Geometry
Northeastern University,Professor,187,2001,Algebraic geometry,,Algebraic Geometry
Northeastern University,Professor,932,1971,Algebraic geometry,,Algebraic Geometry
Northwestern University,Professor,908,2004,Several complex variables and analytic spaces,Differential geometry,Complex Analysis
Northwestern University,Professor,680,2007,Several complex variables and analytic spaces,,Complex Analysis
Northwestern University,Professor,212,1975,Probability theory and stochastic processes,,Probability
Northwestern University,Professor,803,1960,"Global analysis, analysis on manifolds",,PDE
Northwestern University,Professor,2571,1981,"Global analysis, analysis on manifolds",,PDE
Northwestern University,Professor,2216,1983,"Global analysis, analysis on manifolds",,PDE
Northwestern University,Professor,830,1983,"Global analysis, analysis on manifolds",Differential geometry,PDE
Northwestern University,Professor,460,1995,"Global analysis, analysis on manifolds",,PDE
Northwestern University,Professor,647,1995,Dynamical systems and ergodic theory,,Dynamics
Northwestern University,Professor,281,2001,Dynamical systems and ergodic theory,,Dynamics
Northwestern University,Professor,650,1983,Dynamical systems and ergodic theory,,Dynamics
Northwestern University,Professor,413,1989,Dynamical systems and ergodic theory,"Global analysis, analysis on manifolds",Dynamics
Northwestern University,Professor,360,2008,Differential geometry,,Geometry
Northwestern University,Professor,301,1995,Category theory; homological algebra,,Algebra
Northwestern University,Professor,1050,1983,Algebraic topology,,Algebra
Northwestern University,Professor,1064,1993,Algebraic geometry,,Algebraic Geometry
Northwestern University,Professor,645,1999,Algebraic geometry,,Algebraic Geometry
Oklahoma State University ,Professor,134,1985,"Topological groups, Lie groups",,Lie Groups
Oklahoma State University ,Professor,21,1979,"Topological groups, Lie groups",,Lie Groups
Oklahoma State University ,Professor,52,1982,"Topological groups, Lie groups",,Lie Groups
Oklahoma State University ,Professor,197,1985,"Topological groups, Lie groups",,Lie Groups
Oklahoma State University ,Professor,41,1983,Several complex variables and analytic spaces,,Complex Analysis
Oklahoma State University ,Professor,171,1977,Several complex variables and analytic spaces,,Complex Analysis
Oklahoma State University ,Professor,3364,1995,Partial differential equations,,PDE
Oklahoma State University ,Professor,92,2004,Numerical analysis,,Computer Science
Oklahoma State University ,Professor,446,1981,Number theory,,Number theory
Oklahoma State University ,Professor,222,1997,Number theory,,Number theory
Oklahoma State University ,Professor,1274,1968,Manifolds and cell complexes,,Geometry
Oklahoma State University ,Professor,114,1985,Manifolds and cell complexes,,Geometry
Oklahoma State University ,Professor,161,1977,Manifolds and cell complexes,,Geometry
Oklahoma State University ,Professor,103,1972,Manifolds and cell complexes,,Geometry
Oklahoma State University ,Professor,294,1991,Functions of a complex variable,,Complex Analysis
Oklahoma State University ,Professor,298,2003,Commutative rings and algebras,,Algebra
Oklahoma State University ,Professor,59,1981,Algebraic geometry,,Algebraic Geometry
Oregon State University,Professor,65,2001,Special functions,Number theory,Analysis
Oregon State University,Professor,196,1981,Relativity and gravitational theory,,Mathematical Physics
Oregon State University,Professor,148,1985,Probability theory and stochastic processes,,Probability
Oregon State University,Professor,33,2003,Probability theory and stochastic processes,,Probability
Oregon State University,Professor,501,1977,Partial differential equations,,PDE
Oregon State University,Professor,85,1992,Partial differential equations,,PDE
Oregon State University,Professor,220,1985,Partial differential equations,,PDE
Oregon State University,Professor,1934,1968,Operator theory,,Harmonic analysis
Oregon State University,Professor,138,2003,Numerical analysis,,Computer Science
Oregon State University,Professor,386,1981,Numerical analysis,,Computer Science
Oregon State University,Professor,327,1989,Number theory,,Number theory
Oregon State University,Professor,165,1987,Manifolds and cell complexes,,Geometry
Oregon State University,Professor,190,1988,"Global analysis, analysis on manifolds",,PDE
Oregon State University,Professor,151,1995,Fluid mechanics,,Applied Math
Oregon State University,Professor,54,1993,Differential geometry,,Geometry
Oregon State University,Professor,513,2001,Biology and other natural sciences,,Applied Math
Oregon State University,Professor,154,1990,Biology and other natural sciences,,Applied Math
Pennsylvania State University,Professor,51,1992,Systems theory; control,,Applied Math
Pennsylvania State University,Professor,8432,1961,Special functions,Number theory,Analysis
Pennsylvania State University,Professor,230,1996,Partial differential equations,,PDE
Pennsylvania State University,Professor,510,2000,Partial differential equations,,PDE
Pennsylvania State University,Professor,4709,1978,Partial differential equations,,PDE
Pennsylvania State University,Professor,455,1980,Partial differential equations,,PDE
Pennsylvania State University,Professor,240,1984,Partial differential equations,,PDE
Pennsylvania State University,Professor,1984,1989,Partial differential equations,,PDE
Pennsylvania State University,Professor,227,1994,Partial differential equations,,PDE
Pennsylvania State University,Professor,288,1997,Partial differential equations,,PDE
Pennsylvania State University,Professor,5263,1985,Numerical analysis,,Computer Science
Pennsylvania State University,Professor,1136,1991,Numerical analysis,,Computer Science
Pennsylvania State University,Professor,6,2005,Numerical analysis,,Computer Science
Pennsylvania State University,Professor,728,1974,Number theory,,Number theory
Pennsylvania State University,Professor,406,1999,Number theory,Combinatorics,Number theory
Pennsylvania State University,Professor,131,2003,Number theory,,Number theory
Pennsylvania State University,Professor,2408,1970,Number theory,,Number theory
Pennsylvania State University,Professor,883,1974,Number theory,,Number theory
Pennsylvania State University,Professor,519,2002,Mechanics of deformable solids,,Applied Math
Pennsylvania State University,Professor,517,1980,Group theory and generalizations,,Group theory
Pennsylvania State University,Professor,1125,1968,Group theory and generalizations,,Group theory
Pennsylvania State University,Professor,1384,1963,"Global analysis, analysis on manifolds",Functional analysis,PDE
Pennsylvania State University,Professor,3015,1973,"Global analysis, analysis on manifolds",,PDE
Pennsylvania State University,Professor,531,1978,"Global analysis, analysis on manifolds",Ordinary differential equations,PDE
Pennsylvania State University,Professor,281,1983,"Global analysis, analysis on manifolds",,PDE
Pennsylvania State University,Professor,1679,1988,"Global analysis, analysis on manifolds",,PDE
Pennsylvania State University,Professor,704,1980,Functional analysis,,Harmonic analysis
Pennsylvania State University,Professor,1926,1986,Functional analysis,K-theory,Harmonic analysis
Pennsylvania State University,Professor,901,1993,Functional analysis,,Harmonic analysis
Pennsylvania State University,Professor,150,1990,Fluid mechanics,,Applied Math
Pennsylvania State University,Professor,10,1987,Fluid mechanics,,Applied Math
Pennsylvania State University,Professor,16,2001,Fluid mechanics,,Applied Math
Pennsylvania State University,Professor,333,2006,Fluid mechanics,,Applied Math
Pennsylvania State University,Professor,1377,1982,Dynamical systems and ergodic theory,,Dynamics
Pennsylvania State University,Professor,392,2003,Dynamical systems and ergodic theory,,Dynamics
Pennsylvania State University,Professor,165,1997,Differential geometry,,Geometry
Pennsylvania State University,Professor,1413,1984,Differential geometry,,Geometry
Pennsylvania State University,Professor,403,1991,Differential geometry,,Geometry
Pennsylvania State University,Professor,222,2007,Differential geometry,,Geometry
Pennsylvania State University,Professor,59,2000,Biology and other natural sciences,,Applied Math
Pennsylvania State University,Professor,1445,1973,Associative rings and algebras,,Algebra
Pennsylvania State University,Professor,868,1972,Algebraic geometry,,Algebraic Geometry
Princeton University,Professor,640,2006,Statistics,,Statistics
Princeton University,Professor,2748,1975,"Statistical mechanics, structure of matter",,Mathematical Physics
Princeton University,Professor,1177,1955,Several complex variables and analytic spaces,,Complex Analysis
Princeton University,Professor,819,1997,Relativity and gravitational theory,,Mathematical Physics
Princeton University,Professor,678,2007,Probability theory and stochastic processes,,Probability
Princeton University,Professor,4112,1977,Partial differential equations,,PDE
Princeton University,Professor,5866,1981,Partial differential equations,,PDE
Princeton University,Professor,1208,1999,Partial differential equations,,PDE
Princeton University,Professor,54,2008,Number theory,,Number theory
Princeton University,Professor,5504,1980,Number theory,,Number theory
Princeton University,Professor,700,1989,Number theory,,Number theory
Princeton University,Professor,798,1997,Number theory,,Number theory
Princeton University,Professor,5076,1959,Measure and integration,,Harmonic analysis
Princeton University,Professor,1903,1980,Manifolds and cell complexes,,Geometry
Princeton University,Professor,3724,1990,Manifolds and cell complexes,,Geometry
Princeton University,Professor,3771,1994,Manifolds and cell complexes,,Geometry
Princeton University,Professor,1918,1995,"Global analysis, analysis on manifolds",Relativity and gravitational theory,PDE
Princeton University,Professor,1843,2001,Functional analysis,,Harmonic analysis
Princeton University,Professor,6173,1967,Fourier analysis,,Harmonic analysis
Princeton University,Professor,4269,1984,Fluid mechanics,Partial differential equations,Applied Math
Princeton University,Professor,2133,1974,Differential geometry,"Global analysis, analysis on manifolds",Geometry
Princeton University,Professor,2464,1973,Differential geometry,,Geometry
Princeton University,Professor,616,2001,Differential geometry,,Geometry
Princeton University,Professor,69,2009,Differential geometry,,Geometry
Princeton University,Professor,1432,2002,Combinatorics,,Combinatorics
Princeton University,Professor,6386,1973,Combinatorics,,Combinatorics
Princeton University,Professor,11041,1981,Combinatorics,,Combinatorics
Princeton University,Professor,3876,1966,Algebraic geometry,Number theory,Algebraic Geometry
Princeton University,Professor,5951,1978,Algebraic geometry,,Algebraic Geometry
Princeton University,Professor,1168,1991,Algebraic geometry,,Algebraic Geometry
Purdue University,Professor,260,1991,"Topological groups, Lie groups",,Lie Groups
Purdue University,Professor,729,1968,Several complex variables and analytic spaces,,Complex Analysis
Purdue University,Professor,1184,1978,Several complex variables and analytic spaces,,Complex Analysis
Purdue University,Professor,779,1979,Several complex variables and analytic spaces,,Complex Analysis
Purdue University,Professor,447,1989,Several complex variables and analytic spaces,,Complex Analysis
Purdue University,Professor,179,1993,Several complex variables and analytic spaces,,Complex Analysis
Purdue University,Professor,22,1996,Quantum theory,,Mathematical Physics
Purdue University,Professor,1245,1984,Probability theory and stochastic processes,,Probability
Purdue University,Professor,676,1995,Probability theory and stochastic processes,,Probability
Purdue University,Professor,414,1982,Partial differential equations,,PDE
Purdue University,Professor,1196,1991,Partial differential equations,Differential geometry,PDE
Purdue University,Professor,635,1991,Partial differential equations,,PDE
Purdue University,Professor,586,1981,Partial differential equations,,PDE
Purdue University,Professor,1543,1984,Partial differential equations,,PDE
Purdue University,Professor,1866,1995,Partial differential equations,"Global analysis, analysis on manifolds",PDE
Purdue University,Professor,137,1996,Partial differential equations,,PDE
Purdue University,Professor,499,1999,Partial differential equations,,PDE
Purdue University,Professor,2049,1986,Numerical analysis,,Computer Science
Purdue University,Professor,5437,1988,Numerical analysis,,Computer Science
Purdue University,Professor,253,1998,Numerical analysis,,Computer Science
Purdue University,Professor,674,1998,Numerical analysis,,Computer Science
Purdue University,Professor,674,2001,Numerical analysis,"Optics, electromagnetic theory",Computer Science
Purdue University,Professor,2608,1975,Number theory,,Number theory
Purdue University,Professor,1405,1990,Number theory,,Number theory
Purdue University,Professor,265,1998,Number theory,,Number theory
Purdue University,Professor,1069,1973,"Global analysis, analysis on manifolds",,PDE
Purdue University,Professor,469,1988,"Global analysis, analysis on manifolds",,PDE
Purdue University,Professor,67,1958,Functions of a complex variable,,Complex Analysis
Purdue University,Professor,1594,1974,Functions of a complex variable,,Complex Analysis
Purdue University,Professor,1168,1957,Functional analysis,,Harmonic analysis
Purdue University,Professor,1016,1987,Functional analysis,,Harmonic analysis
Purdue University,Professor,763,2003,Functional analysis,,Harmonic analysis
Purdue University,Professor,96,2005,Computer science,,Computer Science
Purdue University,Professor,1311,1966,Commutative rings and algebras,,Algebra
Purdue University,Professor,1226,1981,Commutative rings and algebras,,Algebra
Purdue University,Professor,373,1999,Commutative rings and algebras,,Algebra
Purdue University,Professor,961,1987,Biology and other natural sciences,,Applied Math
Purdue University,Professor,992,1978,Algebraic topology,,Algebra
Purdue University,Professor,1041,1984,Algebraic geometry,,Algebraic Geometry
Purdue University,Professor,382,1985,Algebraic geometry,,Algebraic Geometry
Purdue University,Professor,394,1987,Algebraic geometry,,Algebraic Geometry
Purdue University,Professor,976,1994,Algebraic geometry,,Algebraic Geometry
Purdue University,Professor,403,1995,Algebraic geometry,Algebraic topology,Algebraic Geometry
Rennselaer Polytechnic Institute,Professor,833,1976,Partial differential equations,,PDE
